999,Cash COP,null,null,null
3,Renta Fija Internacional Dolar,null,null,null
5,Renta Variable Internacional Dolar,null,null,null
6,Renta Fija Colombia Pesos,null,null,null
7,Acciones Colombia,null,null,null
8,Diversificado Extremo,null,null,null
9,Diversificado Bosico,null,null,null
60,Diversificado Dinamico,null,null,null
103,Efectivo Colombia Pesos,null,null,null
113,Diversificado Conservador,null,null,null
